year,month,data_type,region,extent,area,fractional_year
1978,11,Goddard,N,12.05,8.98,1978.8333333333333
1978,12,Goddard,N,14.13,10.85,1978.9166666666667
1979,1,Goddard,N,15.6,12.35,1979.0
1979,2,Goddard,N,16.38,13.14,1979.0833333333333
1979,3,Goddard,N,16.52,13.16,1979.1666666666667
1979,4,Goddard,N,15.56,12.46,1979.25
1979,5,Goddard,N,14.08,11.05,1979.3333333333333
1979,6,Goddard,N,12.65,9.29,1979.4166666666667
1979,7,Goddard,N,10.52,6.61,1979.5
1979,8,Goddard,N,8.18,4.97,1979.5833333333333
1979,9,Goddard,N,7.22,4.54,1979.6666666666667
1979,10,Goddard,N,9.42,6.13,1979.75
1979,11,Goddard,N,11.18,8.29,1979.8333333333333
1979,12,Goddard,N,13.57,10.57,1979.9166666666667
1980,1,Goddard,N,15.05,11.88,1980.0
1980,2,Goddard,N,16.07,12.85,1980.0833333333333
1980,3,Goddard,N,16.21,12.94,1980.1666666666667
1980,4,Goddard,N,15.55,12.46,1980.25
1980,5,Goddard,N,14.08,10.89,1980.3333333333333
1980,6,Goddard,N,12.37,8.95,1980.4166666666667
1980,7,Goddard,N,10.43,6.46,1980.5
1980,8,Goddard,N,8.08,4.85,1980.5833333333333
1980,9,Goddard,N,7.86,4.83,1980.6666666666667
1980,10,Goddard,N,9.48,6.43,1980.75
1980,11,Goddard,N,11.72,8.65,1980.8333333333333
1980,12,Goddard,N,13.75,10.72,1980.9166666666667
1981,1,Goddard,N,15.11,11.85,1981.0
1981,2,Goddard,N,15.75,12.48,1981.0833333333333
1981,3,Goddard,N,15.7,12.65,1981.1666666666667
1981,4,Goddard,N,15.19,12.18,1981.25
1981,5,Goddard,N,13.92,10.93,1981.3333333333333
1981,6,Goddard,N,12.62,8.98,1981.4166666666667
1981,7,Goddard,N,10.67,6.24,1981.5
1981,8,Goddard,N,7.89,4.38,1981.5833333333333
1981,9,Goddard,N,7.25,4.38,1981.6666666666667
1981,10,Goddard,N,9.21,6.2,1981.75
1981,11,Goddard,N,11.2,8.25,1981.8333333333333
1981,12,Goddard,N,13.77,10.48,1981.9166666666667
1982,1,Goddard,N,15.34,12.13,1982.0
1982,2,Goddard,N,16.13,12.81,1982.0833333333333
