year,temp,anomaly
1895,71.62,70.62
1896,72.27,71.27
1897,71.35,70.35
1898,72.75,71.75
1899,71.74,70.74
1900,72.86,71.86
1901,73.2,72.2
1902,71.37,70.37
1903,70.97,69.97
1904,70.72,69.72
1905,72.37,71.37
1906,71.85,70.85
1907,70.79,69.79
1908,70.68,69.68
1909,72.93,71.93
1910,71.11,70.11
1911,70.9,69.9
1912,70.12,69.12
1913,73.36,72.36
1914,71.69,70.69
1915,70.16,69.16
1916,71.82,70.82
1917,71.02,70.02
1918,72.5,71.5
1919,72.27,71.27
1920,70.63,69.63
1921,72.03,71.03
1922,72.81,71.81
1923,71.11,70.11
1924,72.07,71.07
1925,71.4,70.4
1926,72.34,71.34
1927,69.37,68.37
1928,71.82,70.82
1929,72.63,71.63
1930,72.9,71.9
1931,71.96,70.96
1932,72.57,71.57
1933,71.92,70.92
1934,73.53,72.53
1935,72.99,71.99
1936,74.59,73.59
1937,74.66,73.66
1938,73.72,72.72
1939,72.64,71.64
1940,72.14,71.14
1941,72.07,71.07
1942,71.78,70.78
1943,73.45,72.45
1944,72.1,71.1
1945,72.16,71.16
1946,71.17,70.17
1947,74.08,73.08
1948,72.05,71.05
1949,72.1,71.1
1950,70.02,69.02
1951,71.89,70.89
1952,72.82,71.82
1953,72.1,71.1
1954,72.18,71.18
1955,73.87,72.87
1956,71.69,70.69
1957,71.65,70.65
1958,73.29,72.29
1959,73.17,72.17
1960,72.21,71.21
1961,72.7,71.7
1962,72.12,71.12
1963,71.98,70.98
1964,70.72,69.72
1965,71.06,70.06
1966,70.86,69.86
1967,71.22,70.22
1968,70.59,69.59
1969,73.22,72.22
1970,73.38,72.38
1971,72.01,71.01
1972,71.67,70.67
1973,72.61,71.61
1974,70.3,69.3
1975,71.53,70.53
1976,70.66,69.66
1977,71.78,70.78
1978,71.8,70.8
1979,70.97,69.97
1980,72.79,71.79
1981,72.1,71.1
1982,72.09,71.09
1983,75.06,74.06
1984,73.13,72.13
1985,71.02,70.02
1986,71.73,70.73
1987,71.87,70.87
1988,73.67,72.67
1989,71.31,70.31
1990,72.28,71.28
1991,72.99,71.99
1992,69.84,68.84
1993,71.89,70.89
1994,72.21,71.21
1995,74.32,73.32
1996,72.43,71.43
1997,71.74,70.74
1998,74.03,73.03
1999,72.91,71.91
2000,74.05,73.05
2001,74.3,73.3
2002,72.86,71.86
2003,74.66,73.66
2004,70.16,69.16
2005,73.2,72.2
2006,73.4,72.4
2007,74.64,73.64
2008,72.28,71.28
2009,71.89,70.89
2010,74.05,73.05
2011,75.0,74.0
2012,73.8,72.8
2013,72.99,71.99
2014,72.25,71.25
2015,72.95,71.95
2016,73.54,72.54
