year,month,temp,dec_year
1878,1,6.6,1878.0
1878,13,12.76,1878.0
1878,2,8.1,1878.0833333333333
1878,3,8.5,1878.1666666666667
1878,4,13.0,1878.25
1878,5,15.7,1878.3333333333333
1878,6,19.8,1878.4166666666667
1878,7,21.4,1878.5
1878,8,20.1,1878.5833333333333
1878,9,17.5,1878.6666666666667
1878,10,13.5,1878.75
1878,11,5.9,1878.8333333333333
1878,12,2.7,1878.9166666666667
1879,1,1.7,1879.0
1879,13,10.52,1879.0
1879,2,5.2,1879.0833333333333
1879,3,8.1,1879.1666666666667
1879,4,9.3,1879.25
1879,5,12.9,1879.3333333333333
1879,6,16.4,1879.4166666666667
1879,7,16.6,1879.5
1879,8,17.9,1879.5833333333333
1879,9,16.1,1879.6666666666667
1879,10,11.7,1879.75
1879,11,6.5,1879.8333333333333
1879,12,3.5,1879.9166666666667
1880,1,3.1,1880.0
1880,13,12.54,1880.0
1880,2,8.6,1880.0833333333333
1880,3,10.3,1880.1666666666667
1880,4,11.3,1880.25
1880,5,15.1,1880.3333333333333
1880,6,17.8,1880.4166666666667
1880,7,19.2,1880.5
1880,8,20.2,1880.5833333333333
1880,9,18.3,1880.6666666666667
1880,10,10.4,1880.75
1880,11,8.6,1880.8333333333333
1880,12,7.5,1880.9166666666667
1881,1,1.3,1881.0
1881,13,12.12,1881.0
1881,2,5.3,1881.0833333333333
1881,3,8.9,1881.1666666666667
1881,4,11.4,1881.25
1881,5,17.0,1881.3333333333333
1881,6,17.9,1881.4166666666667
1881,7,20.9,1881.5
1881,8,17.6,1881.5833333333333
1881,9,16.4,1881.6666666666667
1881,10,10.5,1881.75
1881,11,11.6,1881.8333333333333
1881,12,6.3,1881.9166666666667
1882,1,7.4,1882.0
1882,13,12.99,1882.0
1882,2,8.6,1882.0833333333333
1882,3,11.4,1882.1666666666667
1882,4,12.3,1882.25
1882,5,16.5,1882.3333333333333
1882,6,17.1,1882.4166666666667
1882,7,19.3,1882.5
1882,8,18.9,1882.5833333333333
1882,9,16.3,1882.6666666666667
1882,10,12.9,1882.75
1882,11,8.5,1882.8333333333333
1882,12,6.3,1882.9166666666667
1883,1,7.2,1883.0
1883,13,12.7,1883.0
1883,2,9.0,1883.0833333333333
1883,3,5.9,1883.1666666666667
1883,4,12.9,1883.25
1883,5,15.1,1883.3333333333333
1883,6,18.5,1883.4166666666667
1883,7,18.6,1883.5
1883,8,19.8,1883.5833333333333
1883,9,16.9,1883.6666666666667
1883,10,12.7,1883.75
1883,11,8.8,1883.8333333333333
1883,12,6.9,1883.9166666666667
1884,1,8.7,1884.0
1884,13,13.61,1884.0
1884,2,8.0,1884.0833333333333
1884,3,10.0,1884.1666666666667
1884,4,11.4,1884.25
1884,5,16.4,1884.3333333333333
1884,6,19.1,1884.4166666666667
1884,7,20.5,1884.5
1884,8,22.6,1884.5833333333333
1884,9,18.5,1884.6666666666667
1884,10,13.0,1884.75
1884,11,8.2,1884.8333333333333
1884,12,6.6,1884.9166666666667
1885,1,5.1,1885.0
1885,13,12.29,1885.0
1885,2,8.7,1885.0833333333333
1885,3,8.4,1885.1666666666667
1885,4,11.9,1885.25
1885,5,13.2,1885.3333333333333
1885,6,18.8,1885.4166666666667
1885,7,21.5,1885.5
1885,8,17.9,1885.5833333333333
1885,9,16.5,1885.6666666666667
1885,10,10.6,1885.75
1885,11,8.2,1885.8333333333333
1885,12,6.5,1885.9166666666667
1886,1,4.5,1886.0
1886,13,12.17,1886.0
1886,2,3.7,1886.0833333333333
1886,3,7.2,1886.1666666666667
